method,training_year,holding_year,code,eligible,excess_elite_frequency,elite_inclusion_rate,overall_inclusion_rate,rank,group,selected
rolling_elite_frequency,2021,2022,501018.SH,True,0.2899999999999999,0.96,0.67,1,commodity,True
rolling_elite_frequency,2021,2022,159985.SZ,True,0.2300000000000001,0.92,0.69,2,commodity,True
rolling_elite_frequency,2021,2022,159981.SZ,True,0.14,0.84,0.7,3,commodity,True
rolling_elite_frequency,2021,2022,512100.SH,True,0.14,0.2,0.06,4,a_share,True
rolling_elite_frequency,2021,2022,512040.SH,True,0.13,0.24,0.11,5,a_share,True
rolling_elite_frequency,2021,2022,510210.SH,True,0.10000000000000003,0.28,0.18,6,a_share,True
rolling_elite_frequency,2021,2022,515880.SH,True,0.1,0.2,0.1,7,a_share,False
rolling_elite_frequency,2021,2022,513500.SH,True,0.07999999999999996,0.72,0.64,8,global,True
rolling_elite_frequency,2021,2022,164824.SZ,True,0.050000000000000044,0.68,0.63,9,global,True
rolling_elite_frequency,2021,2022,588000.SH,True,0.05000000000000002,0.2,0.15,10,a_share,False
rolling_elite_frequency,2021,2022,512200.SH,True,0.04000000000000001,0.2,0.16,11,a_share,False
rolling_elite_frequency,2021,2022,512400.SH,True,0.04000000000000001,0.16,0.12,12,a_share,False
rolling_elite_frequency,2021,2022,512660.SH,True,0.039999999999999994,0.12,0.08,13,a_share,False
rolling_elite_frequency,2021,2022,512800.SH,True,0.020000000000000004,0.08,0.06,14,a_share,False
rolling_elite_frequency,2021,2022,512170.SH,True,0.01999999999999999,0.12,0.1,15,a_share,False
rolling_elite_frequency,2021,2022,515210.SH,True,0.01999999999999999,0.12,0.1,16,a_share,False
rolling_elite_frequency,2021,2022,513030.SH,True,0.010000000000000009,0.64,0.63,17,global,True
rolling_elite_frequency,2021,2022,513100.SH,True,0.010000000000000009,0.48,0.47,18,global,True
rolling_elite_frequency,2021,2022,159949.SZ,True,0.010000000000000002,0.04,0.03,19,a_share,False
rolling_elite_frequency,2021,2022,159869.SZ,True,0.009999999999999995,0.12,0.11,20,a_share,False
rolling_elite_frequency,2021,2022,510500.SH,True,0.009999999999999995,0.12,0.11,21,a_share,False
rolling_elite_frequency,2021,2022,515220.SH,True,0.009999999999999995,0.08,0.07,22,a_share,False
rolling_elite_frequency,2021,2022,515790.SH,True,0.009999999999999995,0.08,0.07,23,a_share,False
rolling_elite_frequency,2021,2022,159920.SZ,True,0.0,1.0,1.0,24,hong_kong,True
rolling_elite_frequency,2021,2022,510880.SH,True,0.0,0.08,0.08,25,a_share,False
rolling_elite_frequency,2021,2022,513080.SH,True,0.0,0.52,0.52,26,global,False
rolling_elite_frequency,2021,2022,513180.SH,True,0.0,1.0,1.0,27,hong_kong,True
rolling_elite_frequency,2021,2022,159851.SZ,True,-0.010000000000000002,0.04,0.05,28,a_share,False
rolling_elite_frequency,2021,2022,510300.SH,True,-0.010000000000000002,0.04,0.05,29,a_share,False
rolling_elite_frequency,2021,2022,510050.SH,True,-0.019999999999999997,0.04,0.06,30,a_share,False
rolling_elite_frequency,2021,2022,512890.SH,True,-0.019999999999999997,0.04,0.06,31,a_share,False
rolling_elite_frequency,2021,2022,159825.SZ,True,-0.03,0.08,0.11,32,a_share,False
rolling_elite_frequency,2021,2022,159928.SZ,True,-0.030000000000000006,0.04,0.07,33,a_share,False
rolling_elite_frequency,2021,2022,159852.SZ,True,-0.04,0.04,0.08,34,a_share,False
rolling_elite_frequency,2021,2022,159865.SZ,True,-0.04,0.04,0.08,35,a_share,False
rolling_elite_frequency,2021,2022,510180.SH,True,-0.04,0.04,0.08,36,a_share,False
rolling_elite_frequency,2021,2022,512880.SH,True,-0.049999999999999996,0.04,0.09,37,a_share,False
rolling_elite_frequency,2021,2022,512980.SH,True,-0.049999999999999996,0.04,0.09,38,a_share,False
rolling_elite_frequency,2021,2022,159980.SZ,True,-0.05999999999999994,0.52,0.58,39,commodity,True
rolling_elite_frequency,2021,2022,159915.SZ,True,-0.06,0.0,0.06,40,a_share,False
rolling_elite_frequency,2021,2022,516150.SH,True,-0.060000000000000005,0.04,0.1,41,a_share,False
rolling_elite_frequency,2021,2022,513880.SH,True,-0.06000000000000005,0.48,0.54,42,global,False
rolling_elite_frequency,2021,2022,159870.SZ,True,-0.07,0.04,0.11,43,a_share,False
rolling_elite_frequency,2021,2022,160644.SZ,True,-0.08999999999999997,0.48,0.57,44,global,False
rolling_elite_frequency,2021,2022,159901.SZ,True,-0.09,0.0,0.09,45,a_share,False
rolling_elite_frequency,2021,2022,161226.SZ,True,-0.10999999999999999,0.64,0.75,46,commodity,False
rolling_elite_frequency,2021,2022,159967.SZ,True,-0.13,0.0,0.13,47,a_share,False
